52.000,0.001,0.102,0.663,69.005,0.002,0.504,0.005,0.450,0.003,0.300,0.674,70.361

53.000,0.000,0.102,0.601,69.605,0.004,0.508,0.006,0.456,0.003,0.303,0.614,70.974

54.000,0.000,0.102,0.585,70.190,0.004,0.512,0.008,0.464,0.002,0.305,0.599,71.573

55.000,0.000,0.102,0.605,70.795,0.001,0.513,0.004,0.468,0.001,0.306,0.611,72.184

56.000,0.001,0.103,0.731,71.526,0.001,0.514,0.006,0.474,0.000,0.306,0.739,72.923

57.000,0.000,0.103,0.757,72.283,0.004,0.519,0.006,0.480,0.002,0.308,0.769,73.692

58.000,0.003,0.106,0.778,73.061,0.003,0.522,0.002,0.482,0.003,0.311,0.789,74.481

59.000,0.000,0.106,0.678,73.739,0.002,0.524,0.003,0.485,0.003,0.314,0.686,75.167

60.000,0.001,0.107,0.633,74.371,0.003,0.527,0.000,0.485,0.006,0.320,0.643,75.810

61.000,0.002,0.109,0.527,74.898,0.004,0.531,0.003,0.488,0.003,0.323,0.539,76.349

62.000,0.001,0.110,0.641,75.539,0.002,0.533,0.004,0.492,0.001,0.324,0.649,76.998

63.000,0.000,0.110,0.808,76.347,0.003,0.536,0.007,0.499,0.001,0.325,0.819,77.816

64.000,0.000,0.110,0.591,76.938,0.002,0.538,0.004,0.503,0.003,0.328,0.601,78.417

65.000,0.002,0.112,0.633,77.571,0.001,0.539,0.006,0.509,0.001,0.329,0.643,79.060

66.000,0.000,0.112,0.604,78.175,0.003,0.542,0.008,0.517,0.003,0.332,0.618,79.678

67.000,0.000,0.112,0.831,79.006,0.004,0.546,0.003,0.520,0.004,0.336,0.842,80.520

68.000,0.002,0.114,0.740,79.745,0.004,0.550,0.002,0.522,0.004,0.340,0.752,81.272

69.000,0.001,0.115,0.806,80.551,0.001,0.551,0.004,0.526,0.002,0.342,0.813,82.086

70.000,0.000,0.115,0.748,81.299,0.001,0.552,0.005,0.531,0.005,0.347,0.759,82.845

71.000,0.001,0.116,0.918,82.217,0.005,0.557,0.004,0.535,0.004,0.351,0.932,83.777

72.000,0.001,0.117,0.761,82.978,0.001,0.558,0.002,0.537,0.003,0.354,0.768,84.545

73.000,0.001,0.118,0.664,83.642,0.003,0.561,0.004,0.541,0.001,0.355,0.673,85.218

74.000,0.001,0.119,0.666,84.308,0.004,0.565,0.003,0.544,0.004,0.359,0.678,85.896

75.000,0.000,0.119,0.751,85.059,0.004,0.569,0.002,0.546,0.002,0.361,0.759,86.656

76.000,0.002,0.121,0.562,85.621,0.001,0.570,0.005,0.551,0.001,0.362,0.571,87.227

77.000,0.001,0.122,0.705,86.327,0.007,0.577,0.005,0.556,0.001,0.363,0.720,87.946

78.000,0.000,0.122,0.626,86.953,0.008,0.585,0.003,0.559,0.002,0.365,0.639,88.585

79.000,0.002,0.124,0.814,87.767,0.001,0.586,0.004,0.563,0.002,0.367,0.823,89.408

80.000,0.001,0.125,0.827,88.594,0.005,0.591,0.004,0.567,0.001,0.368,0.838,90.246

81.000,0.000,0.125,0.773,89.367,0.003,0.594,0.007,0.574,0.001,0.369,0.784,91.030

82.000,0.001,0.126,0.665,90.032,0.003,0.597,0.004,0.578,0.002,0.371,0.675,91.705

83.000,0.001,0.127,0.807,90.840,0.005,0.602,0.005,0.583,0.003,0.374,0.821,92.527

84.000,0.000,0.127,0.602,91.442,0.005,0.607,0.000,0.583,0.005,0.379,0.612,93.139

85.000,0.000,0.127,0.680,92.121,0.004,0.611,0.004,0.587,0.002,0.381,0.690,93.829

86.000,0.000,0.127,0.852,92.974,0.001,0.612,0.008,0.595,0.001,0.382,0.862,94.691

87.000,0.000,0.127,0.613,93.587,0.001,0.613,0.003,0.599,0.004,0.386,0.621,95.312

88.000,0.000,0.127,0.746,94.333,0.003,0.616,0.005,0.604,0.004,0.390,0.758,96.070

89.000,0.003,0.130,0.619,94.952,0.003,0.619,0.004,0.608,0.002,0.392,0.631,96.701

90.000,0.000,0.130,0.791,95.743,0.002,0.621,0.005,0.612,0.003,0.395,0.801,97.503

91.000,0.001,0.131,0.724,96.467,0.003,0.624,0.003,0.615,0.003,0.398,0.734,98.236

92.000,0.000,0.131,0.713,97.179,0.002,0.626,0.005,0.621,0.005,0.403,0.725,98.961

93.000,0.000,0.131,0.838,98.017,0.004,0.630,0.000,0.621,0.004,0.407,0.846,99.807

94.000,0.000,0.131,0.578,98.596,0.002,0.632,0.007,0.628,0.003,0.410,0.590,100.397

95.000,0.000,0.131,0.781,99.376,0.003,0.635,0.007,0.635,0.001,0.411,0.792,101.189

96.000,0.001,0.132,0.687,100.063,0.001,0.636,0.006,0.641,0.004,0.415,0.699,101.888

97.000,0.001,0.133,0.866,100.929,0.005,0.641,0.003,0.644,0.001,0.416,0.876,102.764

98.000,0.001,0.134,0.737,101.666,0.001,0.642,0.003,0.647,0.001,0.417,0.743,103.507

99.000,0.000,0.134,0.666,102.333,0.002,0.644,0.003,0.650,0.005,0.422,0.676,104.184

