0.000,0.000,3.509,0.000,164.083,0.000,0.084,0.000,167.677

lap,curlap_eval,alllaps_eval,curlap_localexpansion,alllaps_localexpansion,curlap_plan,alllaps_plan,curlap_total,alllaps_total
29.000,0.084,5.582,5.241,300.242,0.001,0.132,5.326,305.956

30.000,0.099,5.681,5.141,305.383,0.002,0.134,5.242,311.198

31.000,0.102,5.784,5.279,310.662,0.002,0.136,5.383,316.581

32.000,0.082,5.866,5.959,316.621,0.001,0.137,6.042,322.624

33.000,0.062,5.928,5.396,322.018,0.001,0.138,5.460,328.083

34.000,0.081,6.009,4.616,326.634,0.001,0.139,4.698,332.782

35.000,0.061,6.070,4.234,330.868,0.001,0.140,4.296,337.078

36.000,0.088,6.158,5.415,336.282,0.005,0.145,5.507,342.585

37.000,0.075,6.233,5.582,341.864,0.001,0.146,5.658,348.242

38.000,0.063,6.295,5.101,346.964,0.001,0.147,5.164,353.407

39.000,0.071,6.367,4.967,351.932,0.002,0.149,5.040,358.447

40.000,0.067,6.434,5.936,357.867,0.003,0.152,6.006,364.453

41.000,0.063,6.496,5.616,363.483,0.001,0.153,5.680,370.132

42.000,0.059,6.556,4.446,367.929,0.001,0.154,4.506,374.639

43.000,0.084,6.639,5.572,373.501,0.001,0.155,5.656,380.295

44.000,0.062,6.701,4.688,378.189,0.001,0.156,4.751,385.046

45.000,0.065,6.766,5.277,383.466,0.001,0.157,5.343,390.389

46.000,0.104,6.870,5.549,389.015,0.001,0.158,5.654,396.043

47.000,0.064,6.934,5.454,394.469,0.001,0.159,5.520,401.563

48.000,0.089,7.024,4.873,399.342,0.002,0.161,4.965,406.527

49.000,0.094,7.118,5.237,404.579,0.001,0.162,5.332,411.859

50.000,0.063,7.181,5.262,409.841,0.002,0.164,5.327,417.186

51.000,0.079,7.260,5.065,414.907,0.001,0.165,5.146,422.332

52.000,0.053,7.313,5.555,420.462,0.001,0.166,5.610,427.941

53.000,0.076,7.389,5.094,425.556,0.001,0.167,5.171,433.112

54.000,0.049,7.439,5.453,431.009,0.001,0.168,5.504,438.616

55.000,0.075,7.513,4.738,435.747,0.001,0.169,4.814,443.429

56.000,0.057,7.570,5.201,440.948,0.001,0.170,5.259,448.688

57.000,0.076,7.646,5.580,446.529,0.001,0.171,5.658,454.346

58.000,0.049,7.696,6.033,452.562,0.001,0.172,6.084,460.430

59.000,0.095,7.791,4.528,457.090,0.001,0.173,4.624,465.053

60.000,0.081,7.871,4.419,461.509,0.001,0.174,4.501,469.554

61.000,0.094,7.965,4.208,465.717,0.001,0.175,4.302,473.856

62.000,0.084,8.049,5.684,471.400,0.002,0.177,5.769,479.626

63.000,0.082,8.131,5.841,477.241,0.001,0.178,5.924,485.550

64.000,0.120,8.250,5.712,482.954,0.001,0.179,5.833,491.383

65.000,0.078,8.328,4.940,487.894,0.001,0.180,5.019,496.402

66.000,0.105,8.433,4.837,492.730,0.001,0.181,4.943,501.344

67.000,0.107,8.540,4.525,497.255,0.001,0.182,4.633,505.977

68.000,0.073,8.613,4.643,501.899,0.001,0.183,4.717,510.694

69.000,0.111,8.724,6.775,508.673,0.001,0.184,6.886,517.581

70.000,0.055,8.779,5.085,513.758,0.001,0.185,5.141,522.721

71.000,0.090,8.869,6.818,520.576,0.001,0.186,6.910,529.631

72.000,0.087,8.956,5.075,525.651,0.001,0.187,5.163,534.794

73.000,0.065,9.022,4.247,529.898,0.001,0.188,4.313,539.107

74.000,0.097,9.118,5.190,535.088,0.001,0.189,5.288,544.395

75.000,0.078,9.197,4.768,539.855,0.001,0.190,4.847,549.242

76.000,0.082,9.279,4.902,544.758,0.001,0.191,4.986,554.227

77.000,0.073,9.352,4.572,549.330,0.001,0.192,4.646,558.873

78.000,0.070,9.422,4.521,553.851,0.001,0.193,4.592,563.465

79.000,0.081,9.503,5.747,559.598,0.001,0.194,5.829,569.295

80.000,0.063,9.566,5.558,565.157,0.001,0.195,5.622,574.917

81.000,0.089,9.655,4.719,569.876,0.001,0.196,4.810,579.727

82.000,0.110,9.765,5.343,575.220,0.003,0.199,5.456,585.183

83.000,0.095,9.860,5.223,580.442,0.001,0.200,5.318,590.502

84.000,0.114,9.973,4.377,584.819,0.001,0.201,4.491,594.993

85.000,0.082,10.055,4.372,589.190,0.002,0.203,4.456,599.449

86.000,0.071,10.126,4.608,593.798,0.001,0.204,4.679,604.128

87.000,0.104,10.230,4.437,598.236,0.001,0.205,4.543,608.671

88.000,0.098,10.328,5.130,603.365,0.003,0.208,5.230,613.901

89.000,0.095,10.423,4.660,608.025,0.001,0.209,4.756,618.657

90.000,0.084,10.507,4.690,612.715,0.001,0.210,4.775,623.432

91.000,0.095,10.603,4.562,617.277,0.001,0.211,4.658,628.090

92.000,0.086,10.688,5.438,622.715,0.001,0.212,5.525,633.615

93.000,0.073,10.762,5.114,627.828,0.001,0.213,5.188,638.803

94.000,0.083,10.844,4.254,632.082,0.001,0.214,4.338,643.141

95.000,0.082,10.926,5.214,637.297,0.001,0.215,5.297,648.438

96.000,0.090,11.016,4.408,641.705,0.001,0.216,4.499,652.937

97.000,0.045,11.061,5.480,647.184,0.001,0.217,5.526,658.462

98.000,0.117,11.178,4.689,651.873,0.001,0.218,4.807,663.269

99.000,0.071,11.249,4.140,656.012,0.001,0.219,4.212,667.481

